week,building,kWh,thermal_kWh,gas_therm,water_gallon,heating_dd,normalized_kWh
2026-03-23,Rachel Carson Hall,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-23,Student Center,20320.06135,20320.06135,0.0,0.0,0.0,20320.06135
2026-03-23,Student Health Center,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-23,Wine Spectator Learning Ctr,18740.07,0.0,0.0,0.0,0.0,18740.07
2026-03-30,Green Music Center,212550.055291,86207.475291,0.0,0.0,0.0,212550.055291
2026-03-30,Ives Hall,5477.566304,5477.566304,0.0,0.0,0.0,5477.566304
2026-03-30,Nichols Hall,706.39887,706.39887,0.0,0.0,0.0,706.39887
2026-03-30,Physical Education,9058.91,0.0,0.0,0.0,0.0,9058.91
2026-03-30,Rachel Carson Hall,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-30,Student Center,19180.749004,19180.749004,0.0,0.0,0.0,19180.749004
2026-03-30,Student Health Center,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-30,Wine Spectator Learning Ctr,19615.31,0.0,0.0,0.0,0.0,19615.31
2026-04-06,Green Music Center,290449.14626,84936.96626,0.0,0.0,0.0,290449.14626
2026-04-06,Ives Hall,6817.978607,6817.978607,0.0,0.0,0.0,6817.978607
2026-04-06,Nichols Hall,237.136723,237.136723,0.0,0.0,0.0,237.136723
2026-04-06,Physical Education,8929.81,0.0,0.0,0.0,0.0,8929.81
2026-04-06,Rachel Carson Hall,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-06,Student Center,14661.018994,14661.018994,0.0,0.0,0.0,14661.018994
2026-04-06,Student Health Center,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-06,Wine Spectator Learning Ctr,21268.57,0.0,0.0,0.0,0.0,21268.57
2026-04-13,Green Music Center,80563.653776,34328.263776,0.0,0.0,0.0,80563.653776
2026-04-13,Ives Hall,3978.649479,3978.649479,0.0,0.0,0.0,3978.649479
2026-04-13,Nichols Hall,99.686618,99.686618,0.0,0.0,0.0,99.686618
2026-04-13,Physical Education,4043.94,0.0,0.0,0.0,0.0,4043.94
2026-04-13,Rachel Carson Hall,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-13,Student Center,8919.23945,8919.23945,0.0,0.0,0.0,8919.23945
2026-04-13,Student Health Center,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-13,Wine Spectator Learning Ctr,10421.98,0.0,0.0,0.0,0.0,10421.98
2026-04-20,Campus Misc,4.03,0.0,0.0,0.0,0.0,4.03
2026-04-20,Green Music Center,58242.326276,13461.236276,0.0,0.0,0.0,58242.326276
2026-04-20,Ives Hall,2952.039658,2952.039658,0.0,0.0,0.0,2952.039658
2026-04-20,Nichols Hall,63.725191,63.725191,0.0,0.0,0.0,63.725191
2026-04-20,Physical Education,1362.7,0.0,0.0,0.0,0.0,1362.7
2026-04-20,Rachel Carson Hall,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-20,Student Center,3761.633665,3761.633665,0.0,0.0,0.0,3761.633665
2026-04-20,Student Health Center,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-20,Wine Spectator Learning Ctr,3510.14,0.0,0.0,0.0,0.0,3510.14
